state_ticker,state_order,state_day_start,state_day_end,state_open,state_stop_loss,state_close_estimate,state_max_r,state_MA_r,state_RSI_r,last_r
MRK,2,1657207800.0,1657288500.0,92.92,93.02,,4.3000000000003125,,,-1
MRK,1,1657302000.0,1657635900.0,93.026,92.68599999999999,,4.982352941176428,0.5411764705882225,4.982352941176428,0.5411764705882225
MRK,1,1657547100.0,1657636200.0,93.444,93.02800000000002,,3.0673076923078115,-0.5625000000000449,3.0673076923078115,-0.2980769230769582
MRK,2,1657653000.0,1657719600.0,93.464,93.65400000000001,,1.1263157894736062,,,-0.6631578947368256
MRK,1,1657826700.0,1658160000.0,93.758,93.63799999999999,,11.683333333332898,-0.4833333333332544,7.433333333333136,-0.4833333333332544
MRK,2,1658945700.0,1658948700.0,90.806,91.166,,0.8499999999999941,,,-0.7888888888889068
GILD,2,1657633500.0,1657636800.0,62.395,62.57000000000001,,0.6000000000000081,,,-0.942857142857115
GILD,2,1658425200.0,1658497200.0,60.934000000000005,61.158,,0.8660714285714533,,,-1
GILD,2,1658255700.0,1658497800.0,62.217999999999996,62.397999999999996,,8.211111111111093,2.988888888888875,6.322222222222222,2.988888888888875
GILD,2,1658326800.0,1658498100.0,61.844,62.068,,4.928571428571499,0.7321428571428747,3.4107142857143495,1.0446428571428807
GILD,2,1658514600.0,1658517000.0,60.652,60.722,,0.7428571428571341,,,-1
PYPL,2,1657623300.0,1657631100.0,70.198,70.92799999999998,,0.3260273972602779,,,-0.6739726027397416
PYPL,2,1657632900.0,1657633200.0,71.824,72.36399999999999,,-0.4555555555555532,-0.4555555555555532,,-0.4555555555555532
PYPL,2,1657813200.0,1657891800.0,70.108,70.788,,1.1735294117647213,,,-1
PYPL,1,1657892700.0,1657893300.0,71.237,70.532,,0.10354609929079103,,,-0.5914893617021314
PYPL,2,1658169300.0,1658226000.0,74.884,75.174,,3.979310344827488,,3.3241379310344064,-0.22758620689655545
PYPL,1,1658486400.0,1658496600.0,82.572,82.28399999999999,,1.8333333333332347,,,-0.319444444444428
PYPL,1,1658497200.0,1658498100.0,83.096,82.39200000000001,,1.1704545454545534,,,-1
PYPL,1,1658410500.0,1658504400.0,80.25399999999999,79.79399999999998,,7.969565217391191,2.2086956521738865,6.643478260869475,2.2086956521738865
PYPL,2,1658753700.0,1658755500.0,80.998,81.22800000000001,,0.20869565217391733,,,-0.31304347826081425
PYPL,2,1658832300.0,1658916000.0,80.818,81.398,,7.082758620689683,-0.7793103448275853,4.910344827586219,-0.7793103448275853
PYPL,2,1659016800.0,1659022800.0,84.799,85.51400000000001,,1.7048951048951084,,,-1
PYPL,1,1659092700.0,1659098100.0,86.616,85.976,,0.47500000000000275,,,-0.9312500000000049
PYPL,1,1659367800.0,1659375300.0,88.394,87.734,,0.9181818181817949,,,-0.8242424242424277
PYPL,2,1659451800.0,1659456000.0,88.314,89.10399999999998,,0.10632911392403774,,,-1
IBM,1,1657048500.0,1657653900.0,136.684,136.374,10.338580645161203,15.664516129032126,7.374193548387047,,7.374193548387047
IBM,2,1657737600.0,1657813200.0,137.898,138.528,,3.647619047619077,,,-1
IBM,1,1658154300.0,1658154600.0,139.966,139.77599999999998,,-0.34736842105259697,,,-0.34736842105259697
IBM,2,1658334000.0,1658346000.0,128.854,129.144,,2.7724137931035315,,,-1
IBM,2,1658850000.0,1658851500.0,127.994,128.184,,0.547368421052634,,,-1
IBM,1,1659362400.0,1659448200.0,131.18800000000002,130.91800000000003,,5.118518518518776,,,-1
MRK,1,1659966000.0,1660068900.0,87.13199999999999,86.85199999999999,,10.70714285714283,,10.70714285714283,-0.6857142857142582
MRK,1,1660657200.0,1660657500.0,90.472,90.342,,0.13846153846154854,,,0.13846153846154854
MRK,2,1660678200.0,1660743600.0,90.384,90.474,,0.04444444444449708,,,-1
MRK,2,1660837800.0,1660838100.0,91.156,91.316,,0.2875000000000466,,,0.2875000000000466
MRK,2,1661456400.0,1661521200.0,89.95,90.2,,-0.2400000000000091,-0.2400000000000091,,-0.2400000000000091
MRK,2,1661881500.0,1661882100.0,86.64999999999999,86.88999999999999,,-0.29166666666670366,,,-0.7083333333333556
MRK,2,1661535900.0,1662042300.0,89.94800000000001,90.078,12.529846153846611,37.676923076924474,28.753846153847267,5.138461538461767,28.753846153847267
MRK,1,1662136800.0,1662138000.0,87.302,86.97200000000001,,0.024242424242410934,,,-1
GILD,2,1659727800.0,1659728100.0,60.892,60.962,,-0.9714285714285367,,,-1
GILD,1,1660052400.0,1660053000.0,61.507999999999996,61.437999999999995,,1.8857142857143496,,,-1
GILD,1,1660061400.0,1660065900.0,61.814,61.654,,0.5375000000000022,,,-0.83750000000002
GILD,1,1660140000.0,1660313100.0,62.237,61.982000000000006,,4.129411764705945,-0.4588235294117903,1.8549019607843429,-0.4588235294117903
GILD,1,1660674300.0,1660674900.0,66.062,65.982,,0.3500000000000799,,,-0.7749999999999867
GILD,1,1660763400.0,1660764300.0,66.258,66.13799999999999,,0.2666666666667456,,,-1
GILD,1,1660850700.0,1661175900.0,65.006,64.916,,7.266666666666351,,,-1
GILD,2,1661262300.0,1661794500.0,63.793,64.048,,9.658823529411672,5.619607843137198,8.521568627450902,5.619607843137198
GILD,2,1661349900.0,1661794800.0,63.434999999999995,63.795,,5.847222222222108,2.986111111111045,5.041666666666568,2.8472222222221664
GILD,1,1661973600.0,1661973900.0,63.296,63.205999999999996,,-0.5111111111110848,,,-0.5111111111110848
PYPL,2,1659700500.0,1659708600.0,96.618,96.79799999999999,7.912666666666997,11.988888888889388,,11.377777777778254,-0.45555555555561783
PYPL,2,1660052100.0,1660052400.0,94.649,95.164,,-1.0116504854368937,,,-1
PYPL,1,1660311900.0,1660312200.0,101.083,100.638,,-0.11910112359550132,,,-0.11910112359550132
PYPL,1,1660653000.0,1660653300.0,102.53999999999999,102.33999999999999,,-0.1499999999999325,,,-0.4999999999999645
PYPL,1,1660759500.0,1660816800.0,100.00200000000001,99.522,,1.7041666666666184,,,-1
PYPL,2,1660830600.0,1660833900.0,98.032,98.652,,1.1806451612903128,,,-1
PYPL,2,1661178300.0,1661179200.0,93.55799999999999,94.088,,0.24150943396223704,,,-0.8150943396226439
PYPL,1,1661256900.0,1661259600.0,93.852,93.522,,0.08484848484845979,,,-1
PYPL,2,1661341200.0,1661347800.0,93.1,93.7,,0.36666666666665954,,,-0.2166666666666797
PYPL,1,1661520900.0,1661522400.0,96.704,95.648,,0.06250000000000253,,,-1
PYPL,1,1661436600.0,1661524200.0,95.04,94.44,,3.4333333333332647,-1.3666666666666596,,-1
PYPL,2,1661780400.0,1661781000.0,93.094,93.38399999999999,,2.427586206896596,0.8068965517241417,,0.46206896551725524
PYPL,1,1661861400.0,1661868300.0,93.45,92.64999999999999,,0.8749999999999911,,,-1
PYPL,2,1661973300.0,1662059400.0,93.912,94.28200000000001,7.120864864864785,10.789189189189068,4.005405405405354,,4.005405405405354
PYPL,1,1662122700.0,1662125700.0,92.774,92.364,,2.697560975609765,,,-1
IBM,2,1659707400.0,1659708300.0,131.542,131.812,,0.1925925925925575,,,-0.14074074074077583
IBM,2,1659974100.0,1660138800.0,131.78,131.98000000000002,8.678999999999245,13.149999999998856,3.4999999999996447,10.14999999999914,3.4999999999996447
IBM,2,1660246200.0,1660311600.0,132.418,132.598,,0.6,,,-0.4
IBM,1,1660850700.0,1660916700.0,138.832,138.702,,2.3692307692307963,,,-1
IBM,2,1661272500.0,1661272800.0,135.048,135.228,,-0.34444444444449707,,,-1
IBM,2,1661781000.0,1661788800.0,130.039,130.783,,0.5094086021505253,,,-1
IBM,2,1661881500.0,1661882400.0,129.528,129.89600000000002,,-0.3586956521739038,,,-0.9293478260869326
IBM,2,1661972700.0,1661973300.0,128.942,129.21399999999997,,-0.06617647058824681,,,-1
IBM,2,1661355000.0,1662128100.0,134.358,134.788,7.21088372093013,15.227906976743949,9.669767441860348,2.57674418604648,9.669767441860348
IBM,2,1661867100.0,1662128700.0,130.488,131.01600000000002,,5.071969696969499,0.5454545454545454,,0.16666666666664873
PFE,2,1660071000.0,1660073400.0,49.668,49.897999999999996,,-0.18260869565218332,,,-0.6608695652174047
PFE,1,1660302300.0,1660830000.0,48.31,48.06,,8.120000000000005,2.4799999999999898,4.47999999999999,2.4799999999999898
PFE,2,1660831200.0,1660916700.0,49.033,49.188,,4.341935483870947,-0.36774193548388223,,-0.36774193548388223
PFE,2,1661193900.0,1661194800.0,48.796,48.856,,0.2666666666666272,,,-0.0666666666666272
